account_id,sap_cd,account_nm_cn,store_cd,店仓名称,매장인원수,임차료 ,수수료율,인테리어,평균급여,보험율, bonus(매출기준%),Store Area,Open date,Closed date,Open Month,Amortization end Month,Closed Month,Store Type,Trade Zone ,Remodeling Date,Remodeling end Month
D012,8000007,杭州宇振商业有限公司,CN6057,ML 杭州 湖滨88,7,"220,000.00",0.14,"40,177.37","3,147.41",0.18,0.04,189,2023-06-30,,202306,202506,,FP,F2,,202506
D001,8000015,上海凌博商贸有限公司,CN6055,ML 泰州 中骏,5,"13,347.14",0.13,"35,192.79","4,038.10",0.26,0.03,213,2023-06-16,,202306,202506,,FP,F4,,202506
D001,8000015,上海凌博商贸有限公司,CN6054,ML 常州 新世纪,5,"25,564.61",0.15,"32,708.47","3,906.56",0.26,0.03,220,2023-06-15,,202306,202506,,FP,F4,,202506
D001,8000015,上海凌博商贸有限公司,CN6053,ML 上海 大宁久光,5,"45,846.06",0.14,"31,518.69","5,823.39",0.26,0.03,137,2023-06-14,,202306,202506,,FP,F2,,202506
D002,8000028,河南金安芯商贸有限公司,CN6052,ML 新乡 宝龙,7,"36,500.00",0.12,"30,208.33","4,100.00",0.28,0.04,123,2023-06-10,,202306,202506,,FP,F4,,202506
D049,8000183,北京鑫聚盛业服装服饰有限公司,CN6051,ML 北京 石景山京西大悦城,7,"129,083.77",0.13,"40,000.00",5500,0.32,0.04,277,2023-06-18,,202306,202506,,FP,F2,,202506
D048,8000181,长沙市珀御商贸有限公司,CN6050,ML 长沙 万家丽广场,8,"210,000.00",0.11,"40,000.00","4,200.00",0.24,0.04,168,2023-06-09,,202306,202506,,FP,F2,,202506
D021,8000023,山西凌皓国际贸易有限公司,CN6049,ML 晋中 天美杉杉奥莱1F FO,15,"355,000.00",0.15,"37,479.17","4,200.00",0.28,0.03,202,2023-06-11,,202306,202506,,FO,O1,,202506
D025,8000018,华初壹通国际贸易有限公司,CN6048,ML 唐山 迁安悦购商城,5,"33,007.00",0,"40,000.00","4,000.00",0.28,0.04,189,2023-06-01,,202306,202505,,FP,F4,,202505
D004,8000030,哈尔滨麟嘉商贸有限公司,CN6047,MK 齐齐哈尔 百货大楼,4,  ,0.1,,"4,900.00",0.26,0.03,115,2023-05-27,,202305,202505,,FP,F2,,202505
D014,8000006,重庆渲格商贸有限公司,CN6045,ML 贵阳 万象汇,4,"64,200.00",0.17,"27,916.25","1,875.00",0.3,0.04,167,2023-06-10,,202306,202506,,FP,F2,2025-12-04,202712
D012,8000007,杭州宇振商业有限公司,CN6043,ML 舟山 东港凯虹广场,3,"42,005.01",0.15,"22,916.67","4,383.71",0.14,0.04,124,2023-06-30,,202306,202506,,FP,F4,,202506
D014,8000006,重庆渲格商贸有限公司,CN6041,ML 遵义 亨特,3,"24,505.12",0.1,"22,916.67","1,875.00",0.3,0.04,168,2023-06-03,,202306,202506,,FP,F4,,202506
D001,8000015,上海凌博商贸有限公司,CN6039,ML 泰州 靖江吾悦,5,"28,483.93",0.14,"22,916.67","8,701.70",0.27,0.03,181,2023-05-26,,202305,202505,,FP,F3,,202505
D012,8000007,杭州宇振商业有限公司,CN6038,ML 合肥 万科广场,7,"44,200.00",0,"22,916.67","5,441.06",0.1,0.02,145,2023-05-26,,202305,202505,,FP,F4,,202505
D029,8000019,北京嘉尚国际时装有限公司,CN6037,ML 北京 西三旗万象汇,7,"47,400.00",0.14,"39,500.00",5500,0.32,0.03,130,2023-05-19,,202305,202505,,FP,F3,,202505
D021,8000023,山西凌皓国际贸易有限公司,CN6036,ML 晋中 鼎尚,5,"20,166.67",0.1,"37,500.00","4,200.00",0.28,0.01,150,2023-05-26,,202305,202505,,FP,F4,,202505
D021,8000023,山西凌皓国际贸易有限公司,CN6035,ML 朔州 美都汇,9,"45,000.00",0.12,"40,000.00","4,200.00",0.28,0.02,255,2023-05-20,,202305,202505,,FP,F4,,202505
